"id","Y","X","SOC","BLD","CRFVOL","OCSKGM","meaERROR","OCSKGMlog"
"P0128",42.247973116378,21.7562844847749,3.3006452534275,1.13642615918111,7.6481616119651,1.03921850549154,3.15,0.0384689936555937
"P0129",42.232948459667,21.7880650398853,5.07312807881773,0.954488043385133,18.0270935960591,1.19079748198169,2.35,0.174623235597028
"P0130",42.243912183614,21.8027059022086,6.71,0.828374803256014,23,1.28398922879485,1.92,0.249971816443529
"P0131",42.0668277101006,21.5944577849668,2.03814655172414,1.31727198469741,13,0.700731065209693,3.44,-0.355631110051942
"P0132",42.0729714873978,21.5990348248671,1.92697994140185,1.34180101783121,3.62028115844039,0.747605040300956,3.88,-0.290880461447859
"P0142",42.0730213129937,21.6134645455921,3.13109213228373,1.15922095511619,1.07436681783178,1.07718962924011,3.44,0.0743554543932793
"P0143",42.0843981630216,21.6158706570063,3.59803841875588,1.10290909789486,1.07436681783178,1.17770253246055,3.28,0.16356553420741
"P0148",42.0986082831538,21.6449628582337,3.66292699353448,1.10920102708309,1,1.20668794785757,3.3,0.187879373360105
"P0153",42.1118859271254,21.635786479094,3.50193773868625,1.1119538997143,9.34554098519187,1.05902357487961,3.03,0.0573473278253222
"P0164",42.0634711683323,21.672422127377,2.83645070043103,1.203475903278,2,1.0035984202286,3.54,0.00359196140426472
"P0165",42.0790988589997,21.6865826087107,3.12016083742554,1.15983403120433,1,1.07480401045691,3.45,0.0721383291040361
"P0168",42.0948617584901,21.6321952437063,2.51118611235302,1.25052287396232,6.49848762012708,0.880867184593763,3.51,-0.12684841969585
"P0175",42.1559910019475,21.618367317894,3.15124574161471,1.15459352915005,0.330663788574006,1.08791311334553,3.45,0.0842612861874303
"P0179",42.1412675526684,21.6353060811238,2.23699959466922,1.28489763513822,1.9909797706767,0.845126534719294,3.78,-0.168268917605727
"P0197",42.1087376288208,21.6957896558587,3.61788658405172,1.10241548307444,2,1.17259377076217,3.24,0.159218193204151
"P0231",42.196174254887,21.7754271241686,1.93548356681034,1.33520485813067,3,0.752021714820041,3.89,-0.284990079358724
"P0246",42.1567659003644,21.7041809928016,3.54584281888182,1.11219143984014,1.5461583528624,1.16480425891807,3.29,0.152553054804962
"P0249",42.1635070921943,21.7445069216857,1.71249274461028,1.37247732871355,2.03456674958541,0.690761362809779,4.03,-0.369960865354042
"P0255",42.1465083785167,21.7568782905766,3.97537109375,1.05856826885305,2.0068359375,1.2371249978359,3.11,0.212790137485421
"P0260",42.1262419913042,21.7635552658834,4.41047752808989,0.995946770497762,3.21839887640449,1.27536883021144,2.9,0.243235415374609
"P0280",42.120486334623,21.8060199467338,1.7917302058922,1.35945672031245,2,0.716119222799767,4,-0.333908613592947
"P0283",42.1524079418233,21.80548106395,2.26,1.28101506568,1,0.85984293238573,3.81,-0.151005543175487
"P0293",42.1748286606148,21.790986391457,2.44,1.25331386211655,1,0.908251489598618,3.72,-0.096233967806621
"P0295",42.1650602786807,21.788299015538,2.57,1.23404106015934,1,0.941931200809025,3.67,-0.0598230423075568
