"ProfID","HorID","top","bottom","SOC","BLD","CRF","SAND","SILT","CLAY"
"P0077","P0077H01",0,20,5.74,NA,5,84,14,3
"P0077","P0077H02",20,34,4.96,NA,12,76,20,4
"P0078","P0078H01",0,15,9.08,NA,40,57,34,9
"P0078","P0078H02",15,27,6.48,NA,57,50,35,15
"P0079","P0079H01",0,15,4.02,NA,16,79,17,4
"P0079","P0079H02",15,27,2.39,NA,18,64,26,9
"P0080","P0080H01",0,16,4.69,NA,18,60,23,16
"P0080","P0080H02",16,30,2.29,NA,6,54,26,20
"P0081","P0081H01",0,15,1.91,NA,49,79,15,5
"P0082","P0082H01",0,14,5.68,NA,35,67,25,8
"P0082","P0082H02",14,30,2.3,NA,31,66,23,12
"P0082","P0082H03",30,50,1.94,NA,47,67,19,14
"P0083","P0083H01",0,14,3.17,NA,24,69,27,3
"P0083","P0083H02",14,28,1.83,NA,29,68,28,3
"P0084","P0084H01",0,12,3.32,NA,34,68,23,9
"P0084","P0084H02",12,32,2.19,NA,33,51,39,9
"P0085","P0085H01",0,10,6.12,NA,31,85,11,4
"P0086","P0086H01",0,15,3.82,NA,15,75,22,3
"P0087","P0087H01",0,16,3.17,NA,38,72,22,7
"P0088","P0088H01",0,17,5.56,NA,32,60,29,11
"P0088","P0088H02",17,35,5.06,NA,28,38,27,36
"P0089","P0089H01",0,18,3.91,NA,31,79,20,1
"P0089","P0089H02",18,33,2.9,NA,34,60,31,9
"P0090","P0090H01",0,15,2.16,NA,30,71,24,5
"P0090","P0090H02",15,27,1.8,NA,27,68,24,8
"P0091","P0091H01",0,16,5.04,NA,33,64,28,9
"P0091","P0091H02",16,34,2.83,NA,44,59,34,8
"P0092","P0092H01",0,15,3.47,NA,20,77,17,6
"P0092","P0092H02",15,32,1.57,NA,25,69,20,10
"P0092","P0092H03",32,53,1.08,NA,10,62,17,21
"P0092","P0092H04",53,84,0.74,NA,22,84,12,5
"P0093","P0093H01",0,12,6.62,NA,29,65,26,9
