ID,X,Y,SOC
3802,7529804,4553159,0.46
3468,7539566,4562131,0.46000427
3555,7539794,4555309,0.461028703
2231,7532453,4583634,0.461067526
3678,7538962,4547896,0.462239929
3534,7543513,4559181,0.462603978
3527,7541682,4560189,0.462957549
4501,7634095,4600723,0.464202094
3443,7540278,4563844,0.464584878
2269,7539899,4580721,0.467135307
2052,7526879,4590041,0.467343731
3092,7625627,4555728,0.468146254
2282,7533305,4577866,0.471515609
6517,7592435,4633745,0.473230516
6517,7587329,4634774,0.473230516
1005,7545641,4642960,0.475470951
4464,7621251,4608705,0.478467202
5609,7629568,4558499,0.480186529
1504,7610193,4635810,0.482818568
1034,7541283,4645949,0.484450778
2255,7537747,4580809,0.486191625
1515,7616843,4635973,0.488888008
3503,7538831,4556894,0.489707503
4494,7631104,4605414,0.491058369
2188,7537205,4584944,0.491778238
2743,7619588,4580398,0.493291178
6493,7620220,4579137,0.493291178
2223,7532500,4581192,0.497851441
6530,7588230,4635380,0.500144353
6530,7583740,4630543,0.500144353
6530,7599804,4630545,0.500144353
4467,7621690,4607878,0.505042393
4461,7620294,4610315,0.506261787
710,7537540,4608651,0.510663222
804,7562918,4618821,0.510663222
1674,7465349,4617453,0.510702346
2368,7537214,4574897,0.513136441
3531,7542374,4558464,0.514555178
2203,7536392,4582197,0.51562701
3951,7541404,4549280,0.515918014
6519,7584859,4641204,0.519588797
6519,7583989,4635414,0.519588797
2252,7536596,4580728,0.519849332
3854,7530416,4546614,0.519991318
1011,7546924,4642285,0.519997256
3681,7539965,4547137,0.520546756
6256,7539767,4576777,0.520825334
4502,7632133,4600746,0.521014493
3544,7542640,4554042,0.521028124
3563,7541046,4551943,0.521084237
3552,7540360,4554506,0.521118431
2169,7532556,4579003,0.521149618
3728,7534740,4545182,0.521291576
3810,7533746,4551742,0.521399525
3546,7541296,4554729,0.521680295
3858,7530560,4548345,0.52180213
2416,7534881,4569321,0.522211908
2239,7534679,4580701,0.522709137
2501,7531420,4569418,0.523199846
3860,7528935,4549416,0.524100474
1985,7484382,4571839,0.524333717
2105,7533298,4588208,0.524865991
